Sprint,Epic,Task_ID,Task,Description,Priority,SP,Assignee
Sprint 2,P0: 대시보드 (BE),T7.01,Project 스키마 설계,projects 컬렉션 스키마 정의,P0,2,BE-Infra
Sprint 2,P0: 대시보드 (BE),T7.02,BE: Schedule CRUD API 개발,프로젝트 생성/조회/수정/삭제 API (Auth),P0,8,BE-B
Sprint 2,P0: 대시보드 (FE),T8.01,FE: 대시보드 페이지 레이아웃,/dashboard 페이지 기본 레이아웃,P0,2,FE-A
Sprint 2,P0: 대시보드 (FE),T8.02,FE: 핵심 타임라인 컴포넌트 개발,스케줄 시각화 재사용 컴포넌트,P0,8,FE-A
Sprint 2,P0: 대시보드 (FE),T8.03,FE: Project 추가/수정 모달 UI,프로젝트 입력 폼 UI 컴포넌트,P0,3,FE-B
Sprint 2,P0: 대시보드 (FE),T8.04,FE: Dashboard API 연동 (Read),GET /api/projects 내 스케줄 조회,P0,3,FE-A
Sprint 2,P0: 대시보드 (FE),T8.05,FE: Dashboard API 연동 (C/U/D),모달 폼과 C/U/D API 연동,P1,5,FE-A
Sprint 2,P1: 공유 페이지 (BE),T9.01,BE: Public Page API 개발,"GET /api/page/:username (인증 불필요, 조회)",P1,5,BE-B
Sprint 2,P1: 공유 페이지 (FE),T9.02,FE: Public Page 라우팅 및 UI,/page/:username 라우트 및 레이아웃,P1,2,FE-B
Sprint 2,P1: 공유 페이지 (FE),T9.03,FE: Public Timeline View 구현,Read-Only 타임라인 UI 구현,P1,3,FE-B
Sprint 2,P1: 공유 페이지 (FE),T9.04,FE: Public Page API 연동,API 호출 및 데이터 시각화,P1,3,FE-B
Sprint 2,P2: 스프린트 관리,T10.01,Sprint 2 Review & Retro,"Sprint 2 시연, 회고 및 Sprint 3 계획",P2,-,ALL
Sprint 3,P0: 디자인 (PM),T11.01,UI/UX 디자인 (포트폴리오),대시보드/공유 페이지 포트폴리오 섹션 UI,P0,-,PM
Sprint 3,P1: 포트폴리오 (BE),T12.01,PortfolioItem 스키마 설계,portfolio_items 컬렉션 스키마 정의,P1,2,BE-Infra
Sprint 3,P1: 포트폴리오 (BE),T12.02,BE: Portfolio CRUD API 개발,포트폴리오 생성/조회/수정/삭제 API,P1,8,BE-A
Sprint 3,P1: 포트폴리오 (FE),T12.03,FE: 대시보드 '포트폴리오 관리' UI,목록 및 추가/수정/삭제 버튼 UI,P1,3,FE-A
Sprint 3,P1: 포트폴리오 (FE),T12.04,FE: 포트폴리오 생성/수정 모달 UI,포트폴리오 입력 폼 UI,P1,3,FE-B
Sprint 3,P1: 포트폴리오 (FE),T12.05,FE: Portfolio CRUD API 연동,대시보드 UI - CRUD API 연동,P1,5,FE-A
Sprint 3,P1: 공유 페이지 연동,T13.01,BE: Public Page API 데이터 추가,기존 API에 포트폴리오 목록 포함 수정,P1,3,BE-B
Sprint 3,P1: 공유 페이지 연동,T13.02,FE: 공유 페이지 'Featured Projects' UI,포트폴리오 카드(Card) UI 개발,P1,3,FE-B
Sprint 3,P1: 공유 페이지 연동,T13.03,FE: API 연동 (포트폴리오 시각화),수정된 API 호출 및 카드 렌더링,P1,3,FE-B
Sprint 3,P2: 고도화,T14.01,FE: 공유 페이지 반응형 디자인,모바일(360px) 최적화,P2,5,FE-B
Sprint 3,P2: 고도화,T14.02,FE: 대시보드 페이지 반응형 디자인,핵심 기능 모바일 반응형 적용,P2,3,FE-A
Sprint 3,P2: 스프린트 관리,T15.01,Sprint 3 Review & Retro,"Sprint 3 시연, 회고 및 Sprint 4 계획",P2,-,ALL
Sprint 4,P0: 디자인 (PM),T16.01,UI/UX 디자인 (문의 시스템),문의 폼 및 수신 문의함 UI 확정,P0,-,PM
Sprint 4,P1: 문의 시스템 (BE),T17.01,Inquiry 스키마 설계,inquiries 컬렉션 스키마 정의,P1,2,BE-Infra
Sprint 4,P1: 문의 시스템 (BE),T17.02,BE: 문의 제출 API 개발,POST /api/inquiry/:username (Public),P1,5,BE-B
Sprint 4,P1: 문의 시스템 (BE),T17.03,BE: 수신 문의 조회 API 개발,GET /api/inquiries (Auth),P1,3,BE-A
Sprint 4,P1: 문의 시스템 (FE),T18.01,FE: 공유 페이지 '문의 폼' UI,클라이언트용 문의 작성 폼 UI,P1,3,FE-B
Sprint 4,P1: 문의 시스템 (FE),T18.02,FE: 문의 제출 API 연동,제출 버튼 클릭 시 API 호출 및 알림,P1,3,FE-B
Sprint 4,P1: 문의 시스템 (FE),T18.03,FE: 대시보드 '문의함' 페이지 UI,수신 문의 목록 페이지 UI,P1,3,FE-A
Sprint 4,P1: 문의 시스템 (FE),T18.04,FE: 수신 문의 API 연동,문의 목록 렌더링 연동,P1,3,FE-A
Sprint 4,P0: 테스트 & 안정화,T19.01,E2E 테스트 시나리오 작성,전체 서비스 흐름 테스트 시나리오,P0,3,ALL
Sprint 4,P0: 테스트 & 안정화,T19.02,통합 테스트 및 버그 수정 (Bug Bash),교차 테스트 및 버그 즉시 수정,P0,13,ALL
Sprint 4,P0: 테스트 & 안정화,T19.03,FE: 최종 UI 폴리싱,로딩/에러/폰트/간격 등 세부 UI 수정,P0,5,"FE-A, FE-B"
Sprint 4,P0: 테스트 & 안정화,T19.04,BE: API 성능/보안 검토,불필요 호출 제거 및 인증 최종 검토,P0,3,"BE-A, BE-B"
Sprint 4,P0: 스프린트 관리,T20.01,Sprint 4 Review (최종 데모),최종 시연 (교수님 피드백 반영 확인),P0,-,ALL
Sprint 4,P0: 스프린트 관리,T20.02,프로젝트 최종 회고 (Retro),8주간의 프로젝트 전체 회고 (KPT),P0,-,ALL
Sprint 4,P0: 스프린트 관리,T20.03,최종 발표 자료 준비,SDP 및 결과물 바탕 발표 자료 작성,P0,-,"PM, ALL"
